sf2PPeXQrUA_000000_000010#enc2zh#0 一个男孩踢了一个领域的足球，一个女孩在它之后奔跑
MrzLrekK1Cc_000000_000010#enc2zh#0 在一间小卧室，父亲和孩子躺在床上，而母电影和指导
MrzLrekK1Cc_000000_000010#enc2zh#1 幼儿女性坐在一只成年男性旁边的床上，她正在咀嚼一个遥远，然后男性从她身上移除它，看不见的女性说话
MrzLrekK1Cc_000000_000010#enc2zh#2 一个小宝贝女孩在遥远的时候咀嚼，而一个男人和她一起玩
MrzLrekK1Cc_000000_000010#enc2zh#3 一个婴儿坐在一个躺下的男人旁边，一个女人正在讲话
MrzLrekK1Cc_000000_000010#enc2zh#4 在一张床上，一对夫妇与他们的宝贝女儿互动
MrzLrekK1Cc_000000_000010#enc2zh#5 一个婴儿女孩坐在躺在床上，在一个赤膊男子躺在嘴里，当男人留下遥远时
MrzLrekK1Cc_000000_000010#enc2zh#6 看到一个小孩在玩一台与成人遥控的电视
MrzLrekK1Cc_000000_000010#enc2zh#7 爸爸和一个婴儿在一起睡觉
MrzLrekK1Cc_000000_000010#enc2zh#8 一个年轻的女孩，因为她的父母跟她说话时咬一个圆柱形物体
MrzLrekK1Cc_000000_000010#enc2zh#9 一个年轻的女孩抱着一个遥控器，一个男人把它拿走并开始轻轻捏她的乳头
yIus7dY2BKU_000094_000104#enc2zh#0 一个人在梯子上站在一棵树上，因为他削减了挂在电线上的分支
yIus7dY2BKU_000094_000104#enc2zh#1 在一个人之外高到一棵梯切割树枝
yIus7dY2BKU_000094_000104#enc2zh#2 梯子上的一个人正在从树上切割枝条
yIus7dY2BKU_000094_000104#enc2zh#3 梯子上的一个人使用锯从电力线附近的树上删除树枝
yIus7dY2BKU_000094_000104#enc2zh#4 一个男人在一个大梯子上使用链锯切割树枝
yIus7dY2BKU_000094_000104#enc2zh#5 一个人站在一个高大的阶梯上，用锯从树上切割成一个分支
yIus7dY2BKU_000094_000104#enc2zh#6 一个人锯在梯子上的电源线的肢体
yIus7dY2BKU_000094_000104#enc2zh#7 站在一个高梯子顶部的人使用电锯修剪电话线附近的树枝
yIus7dY2BKU_000094_000104#enc2zh#8 有在与锯的一棵树的梯子的人切开四肢
yIus7dY2BKU_000094_000104#enc2zh#9 一个男人正站在梯子上，因为他从电源线上的树上切掉肢体
QVygizGIC3M_000004_000014#enc2zh#0 一个女人蹲在地上并挤奶了一个斑牛
QVygizGIC3M_000004_000014#enc2zh#1 一位成熟的女人正在挤奶一只站在小牛旁边的母牛
QVygizGIC3M_000004_000014#enc2zh#2 一位老年妇女牛奶一头母牛，同时与某人关闭屏幕
QVygizGIC3M_000004_000014#enc2zh#3 一个女人在挤奶牛时与另一个人交谈
QVygizGIC3M_000004_000014#enc2zh#4 一个女人蹲在牛身边，拉着山雀挤奶
QVygizGIC3M_000004_000014#enc2zh#5 蓝夹克的女士在野外挤奶了牛奶
QVygizGIC3M_000004_000014#enc2zh#6 一位老年妇女跪在一起和牛奶挤在一起
QVygizGIC3M_000004_000014#enc2zh#7 一个女人外面挤奶给别人谈话
QVygizGIC3M_000004_000014#enc2zh#8 一头母牛被一个女人挤奶了
QVygizGIC3M_000004_000014#enc2zh#9 一群人正在谈论，而一位老太太挤奶了一头牛
DLxAkF7lYHE_000184_000194#enc2zh#0 德雷德锁的女孩包装在照相机前面的圣诞节礼物
DLxAkF7lYHE_000184_000194#enc2zh#1 一个人正在展示如何包装礼物
DLxAkF7lYHE_000184_000194#enc2zh#2 一个女孩正在展示如何在时间间隔视频中捆绑带有麻线的礼物
DLxAkF7lYHE_000184_000194#enc2zh#3 一个年轻的女孩坐在地板上，拿一块绳子，开始做点什么
DLxAkF7lYHE_000184_000194#enc2zh#4 一个带有readlocks的女孩坐在地板上，展示了如何包装礼物
DLxAkF7lYHE_000184_000194#enc2zh#5 一名年轻女子与镜头谈话，然后作为圣诞音乐播放包裹礼物
DLxAkF7lYHE_000184_000194#enc2zh#6 一个女孩展示如何在坐在地板上缠绕圣诞礼物
DLxAkF7lYHE_000184_000194#enc2zh#7 一个矮子帽子里的女孩用纸和纱线包裹一份礼物
DLxAkF7lYHE_000184_000194#enc2zh#8 一个女孩坐在地板中间玩绳子
DLxAkF7lYHE_000184_000194#enc2zh#9 在时间间隔摄影中，一个年轻的女孩展示了如何在纸张和字符串中包裹礼物，而音乐正在玩
aL6zh0oCzZE_000039_000049#enc2zh#0 站立在麦克风前面的一个人演奏某种风乐器
aL6zh0oCzZE_000039_000049#enc2zh#1 一个男人在一家演播室录制自己玩独特的风乐器
aL6zh0oCzZE_000039_000049#enc2zh#2 一个人正在像乐器一样播放长笛
aL6zh0oCzZE_000039_000049#enc2zh#3 一个男人正在通过麦克风打乐器
aL6zh0oCzZE_000039_000049#enc2zh#4 一个人戴着耳机在工作室里的麦克风打一个潘松
aL6zh0oCzZE_000039_000049#enc2zh#5 一个男人坐在昂贵的麦克风前面，并播放一个大的平底锅
aL6zh0oCzZE_000039_000049#enc2zh#6 一个人坐在录音麦克风前，并播放乐器
aL6zh0oCzZE_000039_000049#enc2zh#7 一个人在麦克风前面的耳机，然后开始穿过风乐器来制作音乐
aL6zh0oCzZE_000039_000049#enc2zh#8 在他的脖子和耳机上有一个纹身的男人被视为吹入乐器
aL6zh0oCzZE_000039_000049#enc2zh#9 一个男人在他扮演的时候打一块长笛耳机
0B7puDmojro_000061_000071#enc2zh#0 建筑卡车从大容器中排空污垢
0B7puDmojro_000061_000071#enc2zh#1 一个男人正在用拖拉机倾倒污垢到一堆污垢上
0B7puDmojro_000061_000071#enc2zh#2 人在大堆污垢旁边操作拖拉机翻斗车
0B7puDmojro_000061_000071#enc2zh#3 一个人使用卡车拿起一堆污垢
0B7puDmojro_000061_000071#enc2zh#4 一个男人正在使用大块机器来移动污垢
0B7puDmojro_000061_000071#enc2zh#5 卸料器的负荷跳过完全升起，驾驶员慢慢将其降低到平坦位置
0B7puDmojro_000061_000071#enc2zh#6 一个男人使用一块重型建筑设备来倾倒污垢
0B7puDmojro_000061_000071#enc2zh#7 一个男人正在使用一个小拖拉机倒入大堆
0B7puDmojro_000061_000071#enc2zh#8 一个人正在操作护送机，并将泥落倒在地上
0B7puDmojro_000061_000071#enc2zh#9 一个人操作一个转储卡车倾倒污垢到大堆
i7SAVqA-3Bk_000032_000042#enc2zh#0 一个男人用很多木材风度进行了一名儿童的管弦乐队
i7SAVqA-3Bk_000032_000042#enc2zh#1 一群人坐在指挥的方向上播放乐器
i7SAVqA-3Bk_000032_000042#enc2zh#2 舞台上的学生正在演奏单簧管和长笛，而导体导航
i7SAVqA-3Bk_000032_000042#enc2zh#3 乐团正在和一个男人一起玩，把它们指挥在前面
i7SAVqA-3Bk_000032_000042#enc2zh#4 一群年轻人正在玩乐器作为管弦乐队的一部分
i7SAVqA-3Bk_000032_000042#enc2zh#5 一群年轻的音乐家正在由男人带领的同时演奏音乐
i7SAVqA-3Bk_000032_000042#enc2zh#6 在一个领奖台上，一群年轻人正在玩不同的乐器
i7SAVqA-3Bk_000032_000042#enc2zh#7 在一个舞台上，一群音乐家正在进行一首歌，而导线会导致它们
i7SAVqA-3Bk_000032_000042#enc2zh#8 长笛和单簧管球员在与指挥的舞台上玩耍
i7SAVqA-3Bk_000032_000042#enc2zh#9 乐队协作播放，而导线指示音乐
3IuP3YYwzzA_000000_000010#enc2zh#0 一个蓝色帽子和戴着眼镜的男孩大声打嗝
3IuP3YYwzzA_000000_000010#enc2zh#1 一个蓝色帽子和眼镜的男人大声突发，而他的朋友笑着他
3IuP3YYwzzA_000000_000010#enc2zh#2 一个男人迫使自己在近距离放出长长的嗝
3IuP3YYwzzA_000000_000010#enc2zh#3 豆豆里的一名粗囊脸，大声地击倒了相机笑声
3IuP3YYwzzA_000000_000010#enc2zh#4 一个年轻人平静地骄傲地生产一个大萌
3IuP3YYwzzA_000000_000010#enc2zh#5 向后盖上的一个人调查相机，然后随着视频结束而大声突发
3IuP3YYwzzA_000000_000010#enc2zh#6 一个戴着眼镜的男人发出了一声声音，看着相机
3IuP3YYwzzA_000000_000010#enc2zh#7 有帽子的一个十几岁的男孩在看照相机和belches
3IuP3YYwzzA_000000_000010#enc2zh#8 一个男人坐在嘴里打开之前，在他伸出一头响亮的萌发之前，然后是背景中的一个人笑了
3IuP3YYwzzA_000000_000010#enc2zh#9 一个男人突发，用帽子看着相机
Vli3ay79kJk_000000_000010#enc2zh#0 当他的朋友通过一个领域的目标帖子踢足球时，一个人横向翻转相机
Vli3ay79kJk_000000_000010#enc2zh#1 一个人在立场之间跑步并踢足球，而另一个人则看起来
Vli3ay79kJk_000000_000010#enc2zh#2 一个人在足球场上踢出一个田地的目标，然后是一个男人大喊大叫
Vli3ay79kJk_000000_000010#enc2zh#3 一名年轻人通过立场踢田的实践并取得了成功
Vli3ay79kJk_000000_000010#enc2zh#4 外面的一个人踢足球成一个目标
Vli3ay79kJk_000000_000010#enc2zh#5 一个人在足球场上踢了一个非常长的野外目标
Vli3ay79kJk_000000_000010#enc2zh#6 人们在公园里踢足球球走过帖子，有人喊道触地得分
Vli3ay79kJk_000000_000010#enc2zh#7 一个人在玩耍时在一个领域得分，而一个人在背景中喊叫
Vli3ay79kJk_000000_000010#enc2zh#8 一个人跑到足球，然后将其踢过一个田地的目标
Vli3ay79kJk_000000_000010#enc2zh#9 在一个大领域，一个人踢到它的足球
OnIqmqa9mqc_001907_001917#enc2zh#0 炒饭在炉子上的锅上制作，然后覆盖
OnIqmqa9mqc_001907_001917#enc2zh#1 一个女人用铲子在锅中烹饪的食物，用盖子盖住它
OnIqmqa9mqc_001907_001917#enc2zh#2 一个女人正在谈论，因为她烹饪炒饭锅
OnIqmqa9mqc_001907_001917#enc2zh#3 一个人说明煎锅中的一些米商品
OnIqmqa9mqc_001907_001917#enc2zh#4 一个女人在用盖子覆盖它之前搅拌米饭
OnIqmqa9mqc_001907_001917#enc2zh#5 一个人烹饪一些坐在锅里的食物
OnIqmqa9mqc_001907_001917#enc2zh#6 女人正在制作一个看起来像肮脏的米饭的菜
OnIqmqa9mqc_001907_001917#enc2zh#7 一个人用刮刀混合一锅食物，然后盖住它
OnIqmqa9mqc_001907_001917#enc2zh#8 烹调在一个小煎锅的一个人在家炒饭
OnIqmqa9mqc_001907_001917#enc2zh#9 一个女人演示如何在煎锅中烹饪炒饭
sFrRHqQ9AIw_000022_000032#enc2zh#0 一个有一堆钱的人正在计算一美元钞票
sFrRHqQ9AIw_000022_000032#enc2zh#1 一个坐着的人算出他们持有的大堆栈
sFrRHqQ9AIw_000022_000032#enc2zh#2 几个人说话，而一个人算出一些美元的钞票
sFrRHqQ9AIw_000022_000032#enc2zh#3 一个人计算金钱并将它交给别人在餐桌上
sFrRHqQ9AIw_000022_000032#enc2zh#4 有人正在计算美元钞票，然后是相机平底锅展示一张桌子
sFrRHqQ9AIw_000022_000032#enc2zh#5 一个人在坐在一张桌子时算上他的手中的钱
sFrRHqQ9AIw_000022_000032#enc2zh#6 一个人通过他们的钱来计算，然后看着桌子上的食物
sFrRHqQ9AIw_000022_000032#enc2zh#7 在一张桌子上，一个男人响亮的人兑现
sFrRHqQ9AIw_000022_000032#enc2zh#8 两只手数钱到31，出现了下一个一些开放的馅饼
sFrRHqQ9AIw_000022_000032#enc2zh#9 一个男人在和别人交谈时算上一些钱
NnHX9Auke60_000022_000032#enc2zh#0 一只男性正在描述一个多适合插座工具，并显示工具使用的不同地方
NnHX9Auke60_000022_000032#enc2zh#1 一个人手里用大片银色扳手调整一些东西
NnHX9Auke60_000022_000032#enc2zh#2 一个男人正在使用扳手然后另一个男人拿着一个产品
NnHX9Auke60_000022_000032#enc2zh#3 当他展示如何使用新的棘轮集时，一个人正在叙述
NnHX9Auke60_000022_000032#enc2zh#4 有人解释一个套接字集，为什么它比其他集要好得多
NnHX9Auke60_000022_000032#enc2zh#5 一个男人正在用12个多配合插座收紧各种螺栓，然后他正在谈论插座
NnHX9Auke60_000022_000032#enc2zh#6 在许多不同的项目上尝试了一种新型的插座头
NnHX9Auke60_000022_000032#enc2zh#7 一个人显示扳手可以与不同的尺寸插座一起使用
NnHX9Auke60_000022_000032#enc2zh#8 一个男人描述了拥有特殊扳手的优势
NnHX9Auke60_000022_000032#enc2zh#9 一个人演示了套筒扳手的能力，并显示了插座的3d渲染
ln9NeisDnFU_000116_000126#enc2zh#0 一名赤膊男子在郁郁葱葱的后院跳绳真的很快
ln9NeisDnFU_000116_000126#enc2zh#1 一个人展示他们如何用跳绳锻炼
ln9NeisDnFU_000116_000126#enc2zh#2 没有衬衫的男人是跳跃，因为音乐在背景中播放音乐
ln9NeisDnFU_000116_000126#enc2zh#3 一件赤膊男子在房子的门廊上跳跃
ln9NeisDnFU_000116_000126#enc2zh#4 一个人在房子外面的露台上跳绳
ln9NeisDnFU_000116_000126#enc2zh#5 运动短裤和运动鞋的人跳绳在露台克里斯在他面前穿过绳子
ln9NeisDnFU_000116_000126#enc2zh#6 一个男人以悠闲的步伐跳跃逐渐增加他的速度
ln9NeisDnFU_000116_000126#enc2zh#7 一个男人在门廊外面跳绳
ln9NeisDnFU_000116_000126#enc2zh#8 一个男人正在锻炼，做真的快速的跳绳演习
ln9NeisDnFU_000116_000126#enc2zh#9 一个赤膊男子在露台上站在露台上，疯狂地跳过
P2abrZ-cbqk_000000_000010#enc2zh#0 一辆车从路边清除雪，并在另一面扔掉清澈的雪
P2abrZ-cbqk_000000_000010#enc2zh#1 虽然车辆在路上通过一条大型吹雪机泵
P2abrZ-cbqk_000000_000010#enc2zh#2 一个男人在高速公路的一侧驾驶一艘大型雪吹拖拉机
P2abrZ-cbqk_000000_000010#enc2zh#3 雪犁机器从道路的一侧清除雪，并将其吹到附近的田野上
P2abrZ-cbqk_000000_000010#enc2zh#4 在雪道的一边卡车去除雪
P2abrZ-cbqk_000000_000010#enc2zh#5 驾驶路上的人用雪人犁雪
P2abrZ-cbqk_000000_000010#enc2zh#6 专门从事雪的重型机械在路上执行工作，而汽车在其上传播
P2abrZ-cbqk_000000_000010#enc2zh#7 在交通过程中，拖拉机正在耕作积雪导致雪爆发
P2abrZ-cbqk_000000_000010#enc2zh#8 一个人在路的尽头吹雪
P2abrZ-cbqk_000000_000010#enc2zh#9 大型雪人在高速公路的一侧吹雪
9gCXYhcc8K0_000104_000114#enc2zh#0 一个女人在人群面前骑着机械公牛
9gCXYhcc8K0_000104_000114#enc2zh#1 一个年轻的女孩骑着一个机械牛肉，而几个人看
9gCXYhcc8K0_000104_000114#enc2zh#2 一个女孩骑着一只机械公牛和观看她的人
9gCXYhcc8K0_000104_000114#enc2zh#3 一个女人在一个人在扬声器谈话时骑机械牛肉
9gCXYhcc8K0_000104_000114#enc2zh#4 在西方主题的地方骑一头机械公牛的女人做法
9gCXYhcc8K0_000104_000114#enc2zh#5 一个节日的一个幼儿，他骑着机械牛并留下来
9gCXYhcc8K0_000104_000114#enc2zh#6 一个年轻的女孩正在骑着机械公牛，正在旋转
9gCXYhcc8K0_000104_000114#enc2zh#7 骑机械公牛的女孩和尖叫当人们观看
9gCXYhcc8K0_000104_000114#enc2zh#8 一个年轻的女孩骑着一个机械牛肉，而人们观看和一个人宣布
9gCXYhcc8K0_000104_000114#enc2zh#9 一个女孩坐在机械牛身上，并持有试图坐在它旋转和雄鹿队的坐姿
v1onbz5rSDo_000000_000010#enc2zh#0 有两个孩子的一个人在慢动作的湖上跳过岩石
v1onbz5rSDo_000000_000010#enc2zh#1 一个红色衬衫的男人在慢动作中跳过两次石头，而小孩看起来很糟糕
v1onbz5rSDo_000000_000010#enc2zh#2 男人展示孩子如何在慢动作的水中跳过一块石头
v1onbz5rSDo_000000_000010#enc2zh#3 一个男人在水中跳过石头，这是两个孩子的观看
v1onbz5rSDo_000000_000010#enc2zh#4 一个人在海滩岸上跳过岩石与孩子们
v1onbz5rSDo_000000_000010#enc2zh#5 站立与两个孩子的男人在海洋表面上跳过一块石头
v1onbz5rSDo_000000_000010#enc2zh#6 一个男人把岩石扔进一个湖中，因为小孩除了他
v1onbz5rSDo_000000_000010#enc2zh#7 一名男子摇滚了一个大量的水，因为两个孩子看着他
v1onbz5rSDo_000000_000010#enc2zh#8 一个男人正在扔平石头并跳到水上
v1onbz5rSDo_000000_000010#enc2zh#9 一个男人把石头扔到水中让它跳两次
YG8JiyFKQ9M_000094_000104#enc2zh#0 两根手指用小鞋子显示，而手就是伎俩和有人会谈
YG8JiyFKQ9M_000094_000104#enc2zh#1 他的手指上有微小的鞋子的人显示并描述了月球舞蹈
YG8JiyFKQ9M_000094_000104#enc2zh#2 这个男孩用他的手指用小白鞋来做月亮步行
YG8JiyFKQ9M_000094_000104#enc2zh#3 一只男性用在手指上使用小塑料娃娃鞋来展示月球行动
YG8JiyFKQ9M_000094_000104#enc2zh#4 一个人正在描述如何做月球行走，并通过将两个小塑料娃娃鞋放在他的前两个手指上并沿着木材滑动的塑料鞋来展示如何做到这一点
YG8JiyFKQ9M_000094_000104#enc2zh#5 有人在他的指数和中指上用微小的鞋子展示了月球行走
YG8JiyFKQ9M_000094_000104#enc2zh#6 穿着一对娃娃运动鞋的两根手指在木质表面上向后滑行
YG8JiyFKQ9M_000094_000104#enc2zh#7 男孩用手指陷入了一对微型运动鞋，因为他穿过桌面，描述了一个流行的舞蹈动作
YG8JiyFKQ9M_000094_000104#enc2zh#8 一个人用手指上的鞋子跳舞
YG8JiyFKQ9M_000094_000104#enc2zh#9 一个男人把娃娃鞋放在手指上，像他们在做月下走路时行动
khURP8O3k_k_000241_000251#enc2zh#0 一位女士展示如何使用钳子制作珠宝
khURP8O3k_k_000241_000251#enc2zh#1 一个女人展示如何正确制作某种珠宝
khURP8O3k_k_000241_000251#enc2zh#2 有人正在使用钳子将某些东西附加到金属项链上
khURP8O3k_k_000241_000251#enc2zh#3 一个女人在与一把钳子一起使用时说话
khURP8O3k_k_000241_000251#enc2zh#4 一个女人正在描述和展示珠宝制作技术
khURP8O3k_k_000241_000251#enc2zh#5 一个女人正在使用一对针头钳制成珠宝
khURP8O3k_k_000241_000251#enc2zh#6 一个女人有少年，她正在使用钳子切割项链
khURP8O3k_k_000241_000251#enc2zh#7 一个女人展示了如何使用工具制作珠宝
khURP8O3k_k_000241_000251#enc2zh#8 一个女人展示了如何在家里制作珠宝
khURP8O3k_k_000241_000251#enc2zh#9 一个女人使用一把小钳子在一块珠宝上工作
Eks62nEKfH8_000066_000076#enc2zh#0 一个女人正在刺穿她的舌头，因为外科医生用镊子抬起舌头，女人看起来不适
Eks62nEKfH8_000066_000076#enc2zh#1 一名年轻女子正在刺穿她的舌头，因为镊子抓住它到位
Eks62nEKfH8_000066_000076#enc2zh#2 一个手套的男人对女孩的嘴巴和舌头进行检查
