3c0hLqxvSSI_000000_000010#enc2zh#0 在不同的变异的平台上的一个人俯卧撑
TFxN_vrUEHM_000024_000034#enc2zh#4 一群人在一个派对中跳舞，因为他们互相旋转
TFxN_vrUEHM_000024_000034#enc2zh#5 几个夫妻都是成对跳舞的舞池
TFxN_vrUEHM_000024_000034#enc2zh#6 许多人一起在舞厅一起演唱挥舞
TFxN_vrUEHM_000024_000034#enc2zh#7 函数的各种夫妻正在跳跃从扬声器发出的歌曲
TFxN_vrUEHM_000024_000034#enc2zh#8 派对上很多人一起跳舞到DJ
TFxN_vrUEHM_000024_000034#enc2zh#9 一群穿着良好的人在派对上是广场跳舞
oMyPguv43Ig_000013_000023#enc2zh#0 一个男人滴在干净和猛拉的重量
oMyPguv43Ig_000013_000023#enc2zh#1 一个男人首先抬起头顶的重量，然后落在他面前的重量
oMyPguv43Ig_000013_000023#enc2zh#2 一个人死在健身房里面举加重的酒吧响铃
oMyPguv43Ig_000013_000023#enc2zh#3 一个男人在健身房里捡起重量，然后掉下来，他们弹跳
oMyPguv43Ig_000013_000023#enc2zh#4 一个男人在头顶上方拿着一个体重吧，然后再次下降
oMyPguv43Ig_000013_000023#enc2zh#5 一个男人在头顶上有重量的酒吧，然后他把它放在地板上，然后他捡起它，然后把它抬起在他的头顶上方，他在健身房里再次下降
oMyPguv43Ig_000013_000023#enc2zh#6 在与人的健身房，一个男人灯杠铃然后掉落它
oMyPguv43Ig_000013_000023#enc2zh#7 一个体育馆的举重者拿着杠铃在他的头上然后释放它
oMyPguv43Ig_000013_000023#enc2zh#8 一个人在健身房举起绿色杠铃
oMyPguv43Ig_000013_000023#enc2zh#9 一个男人在健身房举重然后掉下来
xjVN4_zxUB0_000112_000122#enc2zh#0 一个小男孩在瓷砖地板上分组玩具
xjVN4_zxUB0_000112_000122#enc2zh#1 一个小孩坐在地板上使用乐高
xjVN4_zxUB0_000112_000122#enc2zh#2 蹲在房间里的小孩正在谈论时建立乐高结构
xjVN4_zxUB0_000112_000122#enc2zh#3 一个年轻的男孩一次在乐乐和乐乐队建造
xjVN4_zxUB0_000112_000122#enc2zh#4 一个男孩坐在一个瓷砖地板上建造一些小乐高零件的东西
xjVN4_zxUB0_000112_000122#enc2zh#5 一个孩子正忙着玩玩具，似乎有几个小块
xjVN4_zxUB0_000112_000122#enc2zh#6 一个孩子坐在地板上和他的乐高玩具一起玩
xjVN4_zxUB0_000112_000122#enc2zh#7 一个孩子在地板上放在一起的玩具
xjVN4_zxUB0_000112_000122#enc2zh#8 一个男孩玩乐高乐科学家试图建造特殊的东西
xjVN4_zxUB0_000112_000122#enc2zh#9 一个男孩，他的时间玩小块试图建造一些东西
NfpBY0Xbfqc_000019_000029#enc2zh#0 在外语中，一个男人描述了人们在水中种植植物的工作
NfpBY0Xbfqc_000019_000029#enc2zh#1 人们在森林区域挖掘污垢和植物植物
NfpBY0Xbfqc_000019_000029#enc2zh#2 一群人与自然相互作用，而在野外
NfpBY0Xbfqc_000019_000029#enc2zh#3 一个男人在种植树木的镜头上以外语叙述
NfpBY0Xbfqc_000019_000029#enc2zh#4 电视台正在报告人们在湖边砍伐杂草
NfpBY0Xbfqc_000019_000029#enc2zh#5 人们植物植物外面在森林里由一条河
NfpBY0Xbfqc_000019_000029#enc2zh#6 在电视或计算机上录制新闻广播
NfpBY0Xbfqc_000019_000029#enc2zh#7 几个人在丛林中种植植物和灌木
NfpBY0Xbfqc_000019_000029#enc2zh#8 在电视新闻中，几个村民们在当地的花园里播种
NfpBY0Xbfqc_000019_000029#enc2zh#9 一群亚洲人在水中种植了一些绿叶的水域
3j4852AHT84_000077_000087#enc2zh#0 正在制定一份作为一顿饭的食谱
3j4852AHT84_000077_000087#enc2zh#1 一个人正在使用不同的成分和过程中的不同成分烹饪海鲜
3j4852AHT84_000077_000087#enc2zh#2 一个人把蔬菜和不同类型的肉片放在煎锅中，炸薯条
3j4852AHT84_000077_000087#enc2zh#3 一个人烹饪一餐，而文本描述了如何准备这顿饭
3j4852AHT84_000077_000087#enc2zh#4 厨师准备一个海鲜盘，其中包括扇贝鱼和虾烹饪说明出现在屏幕上
3j4852AHT84_000077_000087#enc2zh#5 一个人烹饪各种各样的食物，包括扇贝和炉子的扇贝和蔬菜
3j4852AHT84_000077_000087#enc2zh#6 海鲜烹饪的时间间隔视频与屏幕上显示的说明
3j4852AHT84_000077_000087#enc2zh#7 一个人正在制定如何烹饪扇贝和虾的教程
3j4852AHT84_000077_000087#enc2zh#8 一个人在锅里放一些肉来烹饪
3j4852AHT84_000077_000087#enc2zh#9 有人正在向食物准备中添加成分，进入煎锅，而音乐正在播放
8x6N8O9Oxmc_000000_000010#enc2zh#0 一个适合的人通过在他的头上摆动一个长长的手工锤来攻击轮胎
8x6N8O9Oxmc_000000_000010#enc2zh#1 一个男人通过将一个大锤落入铺设在地面的轮胎外面外面
8x6N8O9Oxmc_000000_000010#enc2zh#2 一个裸照的男人反复撞到大轮胎用锤子
8x6N8O9Oxmc_000000_000010#enc2zh#3 一个男人在他的头上猛拉锤子，一遍又一遍地撞了轮胎
8x6N8O9Oxmc_000000_000010#enc2zh#4 一个男人通过用雪橇敲打轮胎来锻炼
8x6N8O9Oxmc_000000_000010#enc2zh#5 一个男人用重锤反复撞到大型轮胎
8x6N8O9Oxmc_000000_000010#enc2zh#6 一个男人正在使用锤子来回击中黑色轮胎
8x6N8O9Oxmc_000000_000010#enc2zh#7 一名赤膊年轻人使用大锤击中二手车轮胎
8x6N8O9Oxmc_000000_000010#enc2zh#8 一个人拿着锤子，并用它跳动轮胎
8x6N8O9Oxmc_000000_000010#enc2zh#9 一个男人反复用槌子击中轮胎
ODMqQtHhBMc_000000_000010#enc2zh#0 一个年轻人正在走上下来的一些步骤挥动他的手臂
ODMqQtHhBMc_000000_000010#enc2zh#1 一个男性在一个积聚的邻居冲突和挥舞着他的手中
ODMqQtHhBMc_000000_000010#enc2zh#2 一个年轻人在房子外面制作响亮的手势
ODMqQtHhBMc_000000_000010#enc2zh#3 一个男人在走开之前来回捶打他的手臂，抬起双臂
ODMqQtHhBMc_000000_000010#enc2zh#4 一个男人说话并开始冲出空气，而音乐节拍正在玩耍，当音乐停止一个人笑声和音乐继续下去
ODMqQtHhBMc_000000_000010#enc2zh#5 一个年轻人开始跳舞然后音乐停止，他抱怨，音乐再次开始
ODMqQtHhBMc_000000_000010#enc2zh#6 一个男人在空中挥舞着他的手
ODMqQtHhBMc_000000_000010#enc2zh#7 一个男人在外面挥动着双臂，而其他人嘲笑他
ODMqQtHhBMc_000000_000010#enc2zh#8 一个男人抽他的拳头，抬起了他的手，走开了
ODMqQtHhBMc_000000_000010#enc2zh#9 一个男孩用双臂制作几个冲孔动作，然后开始走开
j-uDx-np0Sk_000342_000352#enc2zh#0 一个人在一个黑暗的区域摇摆两个火球
j-uDx-np0Sk_000342_000352#enc2zh#1 一个人在黑暗中旋转两个点亮的圈子
j-uDx-np0Sk_000342_000352#enc2zh#2 艺人在每只手中旋转两个火球
j-uDx-np0Sk_000342_000352#enc2zh#3 有人在黑暗中跳舞，同时在每只手里拿着灯
j-uDx-np0Sk_000342_000352#enc2zh#4 一个人正在和一些灯光一起跳舞，而这是黑暗的
j-uDx-np0Sk_000342_000352#enc2zh#5 一个完全黑暗的人在他手中围绕着灯摆动
j-uDx-np0Sk_000342_000352#enc2zh#6 有人正在跳舞，同时旋转棍子，看起来像是那样的东西
j-uDx-np0Sk_000342_000352#enc2zh#7 彩色LED灯圈，并在黑暗中被一个无法看到的人摆动
j-uDx-np0Sk_000342_000352#enc2zh#8 一个人开始在黑暗中挥动两只火炬
j-uDx-np0Sk_000342_000352#enc2zh#9 一个人用两只手旋转火球跳舞
B-Lb2YUCO_o_000086_000096#enc2zh#0 一个女人站在健身房，并展示如何使用重量设备
B-Lb2YUCO_o_000086_000096#enc2zh#1 一个女人展示了在健身房里使用锻炼机器
B-Lb2YUCO_o_000086_000096#enc2zh#2 一名妇女正在与相机交谈，通过拉下加权滑轮来展示健身房设备
B-Lb2YUCO_o_000086_000096#enc2zh#3 粉红色的坦克上面的女人用她的手臂拉下重量
B-Lb2YUCO_o_000086_000096#enc2zh#4 一个健身房的女人展示了如何使用拉力升降机的示范
B-Lb2YUCO_o_000086_000096#enc2zh#5 一名年轻女子演示如何使用重量机器在手臂肌肉上工作
B-Lb2YUCO_o_000086_000096#enc2zh#6 一个女人在史密斯机器上表演，同时重量上下移动
B-Lb2YUCO_o_000086_000096#enc2zh#7 一个运动女人演示如何在健身房使用重量升降机
B-Lb2YUCO_o_000086_000096#enc2zh#8 一个强大的金发碧眼的粉红色正在健身房使用一台机器
B-Lb2YUCO_o_000086_000096#enc2zh#9 健身房里的金发女郎在其中一个机器上锻炼
RDGdxlqpNKk_000029_000039#enc2zh#0 有人正在使用一个有墨水的辣椒在一张纸上写下它
RDGdxlqpNKk_000029_000039#enc2zh#1 一个人正在使用辣椒和墨水来写一张纸上的单词
RDGdxlqpNKk_000029_000039#enc2zh#2 辣椒的话是用辣椒写在一张纸上的
RDGdxlqpNKk_000029_000039#enc2zh#3 一个人正在使用红色标记来制作辣椒说的标志
RDGdxlqpNKk_000029_000039#enc2zh#4 使用特殊工具写入的人写作的人
RDGdxlqpNKk_000029_000039#enc2zh#5 一个人用红色标记写在一张纸上
RDGdxlqpNKk_000029_000039#enc2zh#6 一个人在一张白色的纸上写在红色标记中的词
RDGdxlqpNKk_000029_000039#enc2zh#7 一个人用辣椒作为魔法标记拼出一组单词
RDGdxlqpNKk_000029_000039#enc2zh#8 有人正在用红色油漆和辣椒作为一支笔写在白色卡上
RDGdxlqpNKk_000029_000039#enc2zh#9 一个人正在使用辣椒和油漆，在纸上画字母
RzSZUa7Myc0_000327_000337#enc2zh#0 坐在外面的女人吹了一个气球，然后令她惊讶的是她
RzSZUa7Myc0_000327_000337#enc2zh#1 这位女士正试图充分吹气球，但它弹出
RzSZUa7Myc0_000327_000337#enc2zh#2 一个女人坐在地上吹一个非常大的气球，直到它弹出并惊喜她
RzSZUa7Myc0_000327_000337#enc2zh#3 坐在侧壁的一位夫人炸毁气球
RzSZUa7Myc0_000327_000337#enc2zh#4 一个女人坐在地上外面吹入气球直到它流行
RzSZUa7Myc0_000327_000337#enc2zh#5 女人坐在旁边的墙壁吹来一个巨大的气球和气球流行音乐
RzSZUa7Myc0_000327_000337#enc2zh#6 一个坐着的女人爆发了一个巨大的气球，直到它流行
RzSZUa7Myc0_000327_000337#enc2zh#7 一个女孩吹了一个大粉红色气球，直到它流行
RzSZUa7Myc0_000327_000337#enc2zh#8 一个女人坐在墙上，吹起一个紫色的气球真的很大，它的脸上爆炸
RzSZUa7Myc0_000327_000337#enc2zh#9 坐在墙壁上的夫人炸毁气球直到它流行
kMQExt-TADw_000012_000022#enc2zh#0 一个年轻人正在用他的乐队乐器做手技巧
kMQExt-TADw_000012_000022#enc2zh#1 一个年轻人在外面旋转乐器
kMQExt-TADw_000012_000022#enc2zh#2 一个人在他周围旋转了两个钹然后一起拍了它
kMQExt-TADw_000012_000022#enc2zh#3 一个男人与嗨帽子cybbals摇晃它们旋转和旋转它们
kMQExt-TADw_000012_000022#enc2zh#4 一个年轻人用一些钹做舞蹈，并在他的背后克隆他们
kMQExt-TADw_000012_000022#enc2zh#5 一个男人在建筑物之外的乐器跳舞
kMQExt-TADw_000012_000022#enc2zh#6 一个男孩在他身后一起拍住他的头部围着钹
kMQExt-TADw_000012_000022#enc2zh#7 一个十几岁的男孩正在挥舞着钹和跳舞
kMQExt-TADw_000012_000022#enc2zh#8 一个年轻人移动他的手和胳膊，同时举行钹s，好像在游行乐队
kMQExt-TADw_000012_000022#enc2zh#9 一个十几岁的男孩通过在他的脑袋里旋转它们来与他的钹练习
x77K1gXY4R8_000021_000031#enc2zh#0 一个人在一天中间的深蓝色长袍上跑下来的人行道
x77K1gXY4R8_000021_000031#enc2zh#1 一个人在公园慢跑，而奇怪的快节奏音乐剧
x77K1gXY4R8_000021_000031#enc2zh#2 穿着蓝色浴袍的人沿着户外道路跑
x77K1gXY4R8_000021_000031#enc2zh#3 蓝色浴袍的一个男人在公园里跑了一条路
x77K1gXY4R8_000021_000031#enc2zh#4 除了他们的长袍之外，一个人跑到公园路上
x77K1gXY4R8_000021_000031#enc2zh#5 一个男人在他的浴袍跑到路上
x77K1gXY4R8_000021_000031#enc2zh#6 有人正在拍摄女性在公园里跑下来
x77K1gXY4R8_000021_000031#enc2zh#7 一个人在浴袍穿着浴袍的日光下跑到公园里
x77K1gXY4R8_000021_000031#enc2zh#8 穿着房屋燕的人在花园区跑步
x77K1gXY4R8_000021_000031#enc2zh#9 一个人在浴袍和拖鞋中穿过公园
DO85advcKDg_000002_000012#enc2zh#0 一个孩子站在起居室，然后执行背部翻转
DO85advcKDg_000002_000012#enc2zh#1 年轻的男孩用太极拳训练来钉在波斯地毯上的完美和艺术背面翻转
DO85advcKDg_000002_000012#enc2zh#2 一个男孩在起居室里的家里倒退了
DO85advcKDg_000002_000012#enc2zh#3 站在他的客厅里的男孩做了慢动作的背面
DO85advcKDg_000002_000012#enc2zh#4 一个男孩站在他的客厅里，并戴上一翻
DO85advcKDg_000002_000012#enc2zh#5 一位年轻的东方男孩在他的客厅里，所以他有空间练习做反向溢
DO85advcKDg_000002_000012#enc2zh#6 一个男孩在慢动作的客厅里做了一个背面翻转
DO85advcKDg_000002_000012#enc2zh#7 一个年轻的男孩在他家的起居室里做了一个背部翻转
DO85advcKDg_000002_000012#enc2zh#8 一个年轻男孩的慢动作，在客厅里做反向翻筋斗
DO85advcKDg_000002_000012#enc2zh#9 一个年轻的男孩站在一个房间的中间，在他的脚上是一个背溢和陆地
7_9nrmc-i5w_000000_000010#enc2zh#0 一辆正在移动的汽车后面的两个男人似乎在睡觉
7_9nrmc-i5w_000000_000010#enc2zh#1 两个男孩在骑在车里骑着嘴巴睡觉
7_9nrmc-i5w_000000_000010#enc2zh#2 他正在睡觉的车里睡觉时正在记录一个孩子
7_9nrmc-i5w_000000_000010#enc2zh#3 两名男子在一辆车里睡着了，它绕过展示他们的脸
7_9nrmc-i5w_000000_000010#enc2zh#4 两个人正在录像带，因为他们在公共汽车上睡着了
7_9nrmc-i5w_000000_000010#enc2zh#5 汽车中的乘客装有睡在后座
7_9nrmc-i5w_000000_000010#enc2zh#6 一个黑发的人正在看着另一个正在睡觉的人
7_9nrmc-i5w_000000_000010#enc2zh#7 一名骑在汽车里的年轻人已经睡着了
7_9nrmc-i5w_000000_000010#enc2zh#8 两个人正在睡在后座的车里，另一个人在前排乘客座位
7_9nrmc-i5w_000000_000010#enc2zh#9 一辆汽车的后座的睡着人脸上的面孔，就像他生病一样，前面的一个只是睡着了他的嘴巴
W9EInaaP3VQ_000480_000490#enc2zh#0 垃圾车沿着一排绿色垃圾桶举起一些举办他们的内容
W9EInaaP3VQ_000480_000490#enc2zh#1 一个男人在驾驶垃圾车沿着道路上释放垃圾桶
W9EInaaP3VQ_000480_000490#enc2zh#2 大型蓝色钢板卡车驶离远离一条长线绿色垃圾桶，黄色盖子然后停在另一个垃圾箱和金属臂上拿起并拆除垃圾
W9EInaaP3VQ_000480_000490#enc2zh#3 有机器人手臂举和排空的垃圾罐的垃圾车在路边
W9EInaaP3VQ_000480_000490#enc2zh#4 清空垃圾桶排空的垃圾车在一个邻里的路边排队
W9EInaaP3VQ_000480_000490#enc2zh#5 垃圾车正在捡起一排垃圾桶并清空它们
W9EInaaP3VQ_000480_000490#enc2zh#6 蓝色垃圾桶使用自动臂抬起绿色罐头并空入卡车
W9EInaaP3VQ_000480_000490#enc2zh#7 垃圾捡起卡车正在落后一排垃圾桶并排空他们
W9EInaaP3VQ_000480_000490#enc2zh#8 垃圾车取代了一个空的垃圾桶，然后驱动到下一组垃圾箱，在那里夹具抓住一个并将其提示进入卡车
W9EInaaP3VQ_000480_000490#enc2zh#9 当它留下另一个时，垃圾可以捡起并处置绿色垃圾
W5KvNJu5JBk_000040_000050#enc2zh#0 沿着污垢轨道和另一个骑手骑马的女人跟随
W5KvNJu5JBk_000040_000050#enc2zh#1 在地上，一个两个人慢慢地骑马
W5KvNJu5JBk_000040_000050#enc2zh#2 一件蓝色外套的女人是骑马与一群人骑马
W5KvNJu5JBk_000040_000050#enc2zh#3 女孩穿着官方骑行制服在他们的马匹周围撬
W5KvNJu5JBk_000040_000050#enc2zh#4 在练习戒指里面的两个骑马骑马
W5KvNJu5JBk_000040_000050#enc2zh#5 正式服装的两名妇女在室外竞技场乘坐马
W5KvNJu5JBk_000040_000050#enc2zh#6 人们骑在一个围栏的骑马上
W5KvNJu5JBk_000040_000050#enc2zh#7 穿着正式骑乘齿轮的同时，两个人在戒指中骑马
W5KvNJu5JBk_000040_000050#enc2zh#8 两名女性在一群人的手表时乘坐竞技场周围的马
W5KvNJu5JBk_000040_000050#enc2zh#9 一个蓝色夹克和黑帽的人和他人一起骑马
OZepG6XiLPU_000030_000040#enc2zh#0 在一个厨房里，一群人聚集在一起制作某种食物
OZepG6XiLPU_000030_000040#enc2zh#1 一群人站在一张桌子上，几个人正在滚球
OZepG6XiLPU_000030_000040#enc2zh#2 一群年轻人正在用几块服务的厨房准备食物
OZepG6XiLPU_000030_000040#enc2zh#3 一群朋友在准备食物时谈论厨房桌子
OZepG6XiLPU_000030_000040#enc2zh#4 大约有一半的人在厨房里准备食物
OZepG6XiLPU_000030_000040#enc2zh#5 一群男女在钢桌上准备一顿饭
OZepG6XiLPU_000030_000040#enc2zh#6 六个人在厨房里准备食物吃饭
OZepG6XiLPU_000030_000040#enc2zh#7 一群烹饪学生正在观察女性准备一道菜
OZepG6XiLPU_000030_000040#enc2zh#8 一个女人的盘子在盘子上，而男性站在看着和发表评论
OZepG6XiLPU_000030_000040#enc2zh#9 人们处理和站立在坐在桌上的板材的食物附近
CEEzZz1TJ64_000055_000065#enc2zh#0 一个人在背景中玩电贝司吉他和音乐
CEEzZz1TJ64_000055_000065#enc2zh#1 一个人正在桌子上弹吉他到音乐
CEEzZz1TJ64_000055_000065#enc2zh#2 一个男人坐在玩白鲈鱼吉他时坐着
CEEzZz1TJ64_000055_000065#enc2zh#3 一个男人用手在吉他上玩一首歌
CEEzZz1TJ64_000055_000065#enc2zh#4 一个人在其他音乐剧中扮演电吉他
CEEzZz1TJ64_000055_000065#enc2zh#5 有人正在玩低音吉他，在背景中有音乐
CEEzZz1TJ64_000055_000065#enc2zh#6 一个男人和一首正在播放的歌曲一起玩电动低音
CEEzZz1TJ64_000055_000065#enc2zh#7 演奏白色低音吉他的一个人的特写镜头
CEEzZz1TJ64_000055_000065#enc2zh#8 一个男人正在玩一首在后台玩的歌曲
CEEzZz1TJ64_000055_000065#enc2zh#9 一个坐着的男人搭配电吉他以及声乐音乐
DRTe1XdC4a8_000430_000440#enc2zh#0 在室内游泳池区进行游泳比赛
DRTe1XdC4a8_000430_000440#enc2zh#1 一群观看游泳运动员在比赛中游泳的人
DRTe1XdC4a8_000430_000440#enc2zh#2 竞争游泳运动员在奥运大小的游泳池中彼此相互竞争，因为它们的分流时间显示在电子板上
DRTe1XdC4a8_000430_000440#enc2zh#3 参加游泳的人在室内游泳池场地见面
DRTe1XdC4a8_000430_000440#enc2zh#4 一群人在游泳池铺平线的另一个人身边站在另一个人之后
DRTe1XdC4a8_000430_000440#enc2zh#5 游泳运动员在一个大型室内奥运大小的池中相互竞争
DRTe1XdC4a8_000430_000440#enc2zh#6 游泳比赛是由评论员叙述，而人群欢呼声和得分
